FID,osm_id,building,name,amenity,addr_house,layer,shop,operator,tourism,power,office,ref,brand,building_l,name_zh,min_level,website,name_en,wikipedia,architect_,wikidata,architect,air_condit,start_date,addr_stree,height,community_,wikimedia_,name_pt,alt_name_e,name_yue,name_ko,wikipedia_,name_th,alt_name,name_ru,name_vi,is_in_prov,is_in_coun,is_in_city,name_de,building_m,check_date,name_ja,short_name,addr_provi,is_in_co_1,name_uk,is_in_pr_1,building_c,addr_city,name_ja_ka,is_in_iso_,name_zh_pi,addr_count,descriptio,payment_no,addr_distr,operator_t,name_zh_Ha,wheelchair,name_zh__1,opening_ho,internet_a,level,addr_postc,phone,building_1,substation,building_p,government,min_levels,brand_wiki,brand_wi_1,building_r,x,y
53,543830122.000000000000000,commercial, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316569156000000,23.128267936800000
54,507573199.000000000000000,office,富力盈通大厦, , , , , , , , , , ,45,富力盈通大厦, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.316572038999990,23.128766629800001
55,312888942.000000000000000,commercial,广晟国际大厦, , , , , , , , , , , ,广晟国际大厦, , ,The Pinnacle,zh:广晟国际大厦, ,Q139815, , , ,60,360, ,Category:The Pinnacle (Guangzhou), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.318068697000000,23.127673132200002
56,490469707.000000000000000,office,越秀金融中心, , , , , , , , , , ,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2021-04-22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320979565000000,23.126634553500001
57,243319593.000000000000000,office,广州银行大厦, , , , , , , , , , ,57,广州银行大厦, , , ,zh-yue:廣州銀行大廈, ,Q806681, , , , ,267.80, ,Category:Bank of Guangzhou Tower, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.320495009000000,23.127551174600001
58,942039635.000000000000000,retail,花城汇北区, , ,-1,mall, , , , , , , , , , ,Huacheng Exchange North, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,113.319244639999990,23.127438659500001
59,243319595.000000000000000,office,利通广场, , , , , , , , , , ,64,利通广场, ,http://www.leatop.com/,Leatop Plaza,zh:利通广场, ,Q589779, , , , ,302.70, ,Category:Leatop Plaza, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,skillion,113.320335641000000,23.128479726100000
60,313517107.000000000000000,yes,维家思广场, , , ,mall, , , , , , , ,维家思广场, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321643499999990,23.127842250000000
61,313517105.000000000000000,commercial,富力盈隆广场, , , , , , , , , , ,42,富力盈隆广场, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321082657999990,23.129263390100000
62,313517106.000000000000000,commercial,恒大中心, , , , , , , , , , ,43,恒大中心, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,113.321934650000000,23.129212200000001
